date,Rain,AQI
2019-09-01,91.4,21
2019-09-02,0,16
2019-09-03,0,16
2019-09-04,0,28
2019-09-05,0,34
2019-09-06,9,27
2019-09-07,106.5,22
2019-09-08,189.2,21
2019-09-09,0.9,19
2019-09-10,4.1,15
2019-09-11,0,17
2019-09-12,0,19
2019-09-13,48.7,19
2019-09-14,0,16
2019-09-15,24.6,20
2019-09-16,0,18
2019-09-17,39.3,18
2019-09-18,2.4,14
2019-09-19,0,16
2019-09-20,33,19
2019-09-21,7.2,15
2019-09-22,0,19
2019-09-23,0.6,20
2019-09-24,0,18
2019-09-25,0,21
2019-09-26,0,23
2019-09-27,0,34
2019-09-28,4.1,36
2019-09-29,0,25
2019-09-30,1.2,20
2019-10-01,0.6,51
2019-10-02,6.3,56
2019-10-03,1.4,18
2019-10-04,0.4,25
2019-10-05,0,29
2019-10-06,0,36
2019-10-07,9.4,31
2019-10-08,4,27
2019-10-09,0.6,28
2019-10-10,3.3,43
2019-10-11,0,24
2019-10-12,0,23
2019-10-13,0,26
2019-10-14,0,24
2019-10-15,0,31
2019-10-16,0,32
2019-10-17,0,35
2019-10-18,0,44
2019-10-19,0,42
2019-10-20,11.1,51
2019-10-21,0,36
2019-10-22,0,37
2019-10-23,0,35
2019-10-24,0,56
2019-10-25,7.8,42
2019-10-26,0,26
2019-10-27,0,42
2019-10-28,0.7,54
2019-10-29,7.5,46
2019-10-30,2.1,29
2019-10-31,1.2,28
2019-11-01,0,21
2019-11-02,0,27
2019-11-03,0,22
2019-11-04,2.4,29
2019-11-05,1.2,26
2019-11-06,0,18
2019-11-07,0.4,17
2019-11-08,0.2,22
2019-11-09,0,30
2019-11-10,3.7,48
2019-11-11,1,43
2019-11-12,3.5,19
2019-11-13,4.9,18
2019-11-14,0,27
2019-11-15,0,24
2019-11-16,0,22
2019-11-17,17.7,23
2019-11-18,21.7,30
2019-11-19,1.5,24
2019-11-20,0,33
2019-11-21,0.5,44
2019-11-22,11.9,50
2019-11-23,4.4,37
2019-11-24,0,19
2019-11-25,0,24
2019-11-26,2.1,39
2019-11-27,0,28
2019-11-28,0,28
2019-11-29,0,27
2019-11-30,5.6,37
2019-12-01,1.4,45
2019-12-02,2.9,53
2019-12-03,0.2,31
2019-12-04,1.6,29
2019-12-05,0.2,33
2019-12-06,2.9,38
2019-12-07,0,43
2019-12-08,0.3,47
2019-12-09,4.5,43
2019-12-10,0,55
2019-12-11,0,39
2019-12-12,0,48
2019-12-13,2.6,59
2019-12-14,0,47
2019-12-15,0,57
2019-12-16,0.6,88
2019-12-17,0,38
2019-12-18,0,45
2019-12-19,1.2,67
2019-12-20,0,87
2019-12-21,0.9,81
2019-12-22,0.4,81
2019-12-23,0,61
2019-12-24,0,99
2019-12-25,0,79
2019-12-26,0,43
2019-12-27,0.1,64
2019-12-28,0.8,78
2019-12-29,15.5,53
2019-12-30,0.2,30
2019-12-31,0,47
2020-01-01,0,74
2020-01-02,0,72
2020-01-03,0,101
2020-01-04,0,83
2020-01-05,0,97
2020-01-06,0,97
2020-01-07,0,55
2020-01-08,0,42
2020-01-09,0,39
2020-01-10,0.4,67
2020-01-11,1.1,110
2020-01-12,0.5,121
2020-01-13,0.3,115
2020-01-14,0,110
2020-01-15,0.1,73
2020-01-16,0.8,99
2020-01-17,0,187
2020-01-18,1.4,104
2020-01-19,3.6,102
2020-01-20,1,77
2020-01-21,1.4,105
2020-01-22,0,85
2020-01-23,0,76
2020-01-24,0,37
2020-01-25,0,149
2020-01-26,0,67
2020-01-27,0,71
2020-01-28,0,62
2020-01-29,0,60
2020-01-30,0,35
2020-01-31,0,36
2020-02-01,0.9,59
2020-02-02,0,78
2020-02-03,0,43
2020-02-04,1.4,41
2020-02-05,1.3,31
2020-02-06,0.3,43
2020-02-07,0,57
2020-02-08,0.8,43
2020-02-09,4.6,51
2020-02-10,0,55
2020-02-11,0,68
2020-02-12,0.9,109
2020-02-13,3.6,50
2020-02-14,0,24
2020-02-15,0,22
2020-02-16,0,26
2020-02-17,0,22
2020-02-18,8.5,35
2020-02-19,2.4,48
2020-02-20,1.6,28
2020-02-21,7.1,26
2020-02-22,4.5,26
2020-02-23,7.9,26
2020-02-24,5.7,36
2020-02-25,0.2,44
2020-02-26,0.9,21
2020-02-27,2,32
2020-02-28,1,37
2020-02-29,1.5,23
2020-03-01,1.4,27
2020-03-02,1.7,25
2020-03-03,2.1,29
2020-03-04,0.6,22
2020-03-05,0,25
2020-03-06,0,28
2020-03-07,9,54
2020-03-08,7.4,78
2020-03-09,0,35
2020-03-10,0,24
2020-03-11,0.3,26
2020-03-12,2.5,34
2020-03-13,0.4,22
2020-03-14,9.1,24
2020-03-15,0,23
2020-03-16,0,26
2020-03-17,0.4,47
2020-03-18,24.2,49
2020-03-19,2.2,30
2020-03-20,1.9,26
2020-03-21,8.5,27
2020-03-22,11.1,21
2020-03-23,0,23
2020-03-24,0,29
2020-03-25,4.8,43
2020-03-26,13.5,41
2020-03-27,1.5,27
2020-03-28,0,23
2020-03-29,0,52
2020-03-30,0,66
2020-03-31,3,44
2020-04-01,0,27
2020-04-02,0.8,38
2020-04-03,25,25
2020-04-04,0,22
2020-04-05,0,25
2020-04-06,22.6,28
2020-04-07,24.8,19
2020-04-08,1.4,24
2020-04-09,0,27
2020-04-10,0,25
2020-04-11,0,30
2020-04-12,0,36
2020-04-13,0,33
2020-04-14,0,32
